hour,device_id,avg_air_temperature,avg_air_humidity,avg_soil_humidity,soil_humidity_difference,irrigation_detected
2024-11-03 13:00:00+00:00,1,18.697,67.881,29.323,,0
2024-11-03 14:00:00+00:00,1,19.835,64.936,26.854,-2.469,0
2024-11-03 15:00:00+00:00,1,21.75,59.393,23.889,-2.965,0
2024-11-03 16:00:00+00:00,1,24.59,54.41,36.204,12.315,1
2024-11-04 15:00:00+00:00,1,22.156,46.227,59.583,23.379,1
2024-11-04 16:00:00+00:00,1,23.625,36.471,53.176,-6.407,0
2024-11-04 17:00:00+00:00,1,37.029,17.719,51.398,-1.778,0
2024-11-04 18:00:00+00:00,1,40.821,15.29,42.462,-8.936,0
2024-11-04 19:00:00+00:00,1,38.746,21.732,37.025,-5.437,0
2024-11-04 20:00:00+00:00,1,32.669,33.485,50.347,13.322,1
2024-11-04 21:00:00+00:00,1,30.152,35.152,34.786,-15.561,0
2024-11-04 22:00:00+00:00,1,26.411,38.79,22.265,-12.521,0
2024-11-05 00:00:00+00:00,1,20.2,64.2,17.5,-4.765,0
2024-11-05 15:00:00+00:00,1,26.547,36.531,74.636,57.136,1
2024-11-05 16:00:00+00:00,1,26.993,35.432,70.318,-4.318,0
2024-11-05 17:00:00+00:00,1,34.732,27.042,69.483,-0.835,0
2024-11-05 18:00:00+00:00,1,40.192,19.901,70.034,0.551,0
2024-11-05 19:00:00+00:00,1,40.492,17.314,59.087,-10.947,0
2024-11-05 20:00:00+00:00,1,37.977,19.36,52.226,-6.861,0
2024-11-05 21:00:00+00:00,1,33.694,25.268,8.552,-43.674,0
2024-11-05 22:00:00+00:00,1,28.142,28.595,8.286,-0.266,0
2024-11-05 23:00:00+00:00,1,19.611,45.21,9.131,0.845,0
2024-11-06 00:00:00+00:00,1,18.911,56.31,9.824,0.693,0
2024-11-06 01:00:00+00:00,1,19.77,60.864,11.636,1.812,0
2024-11-06 12:00:00+00:00,1,18.928,76.887,5.892,-5.744,0
2024-11-06 13:00:00+00:00,1,20.243,63.239,2.288,-3.604,0
2024-11-06 14:00:00+00:00,1,21.824,58.406,2.735,0.447,0
2024-11-06 17:00:00+00:00,1,40.479,25.757,64.536,61.801,1
2024-11-06 18:00:00+00:00,1,38.789,27.847,91.636,27.1,1
2024-11-06 19:00:00+00:00,1,37.659,29.372,91.641,0.005,0
2024-11-06 20:00:00+00:00,1,35.885,30.779,93.066,1.425,0
2024-11-06 21:00:00+00:00,1,34.313,32.211,93.429,0.363,0
2024-11-06 22:00:00+00:00,1,28.937,37.713,91.534,-1.895,0
2024-11-06 23:00:00+00:00,1,21.935,50.542,89.17,-2.364,0
2024-11-07 00:00:00+00:00,1,19.474,58.003,87.824,-1.346,0
2024-11-07 01:00:00+00:00,1,20.161,64.116,88.852,1.028,0
2024-11-07 02:00:00+00:00,1,19.947,73.056,88.88,0.028,0
2024-11-07 03:00:00+00:00,1,19.857,83.197,89.113,0.233,0
2024-11-07 04:00:00+00:00,1,19.147,83.373,89.327,0.214,0
2024-11-07 05:00:00+00:00,1,18.271,84.974,88.812,-0.515,0
2024-11-07 06:00:00+00:00,1,17.363,86.969,88.166,-0.646,0
2024-11-07 07:00:00+00:00,1,16.522,88.983,87.769,-0.397,0
2024-11-07 08:00:00+00:00,1,15.951,88.292,87.457,-0.312,0
2024-11-07 09:00:00+00:00,1,15.39,87.293,87.148,-0.309,0
2024-11-07 10:00:00+00:00,1,15.828,85.882,87.194,0.046,0
2024-11-07 11:00:00+00:00,1,17.331,81.08,87.932,0.738,0
2024-11-07 12:00:00+00:00,1,20.172,74.966,88.977,1.045,0
2024-11-07 13:00:00+00:00,1,21.343,62.588,67.7,-21.277,0
2024-11-07 14:00:00+00:00,1,22.811,56.933,42.6,-25.1,0
2024-11-07 15:00:00+00:00,1,25.059,51.459,84.047,41.447,1
2024-11-07 16:00:00+00:00,1,26.583,46.87,82.282,-1.765,0
2024-11-07 17:00:00+00:00,1,31.774,37.94,85.875,3.593,0
2024-11-07 18:00:00+00:00,1,32.691,36.743,83.262,-2.613,0
2024-11-07 19:00:00+00:00,1,37.595,27.681,80.381,-2.881,0
2024-11-07 20:00:00+00:00,1,41.07,22.1,77.839,-2.542,0
2024-11-07 21:00:00+00:00,1,37.701,27.764,55.176,-22.663,0
2024-11-07 22:00:00+00:00,1,33.471,33.902,15.653,-39.523,0
2024-11-08 02:00:00+00:00,1,20.911,78.621,57.248,41.595,1
2024-11-08 03:00:00+00:00,1,20.056,78.816,54.695,-2.553,0
2024-11-08 04:00:00+00:00,1,18.728,82.507,52.772,-1.923,0
2024-11-08 05:00:00+00:00,1,18.028,84.729,51.344,-1.428,0
2024-11-08 06:00:00+00:00,1,17.223,85.651,50.338,-1.006,0
2024-11-08 07:00:00+00:00,1,16.386,87.635,49.309,-1.029,0
2024-11-08 08:00:00+00:00,1,15.813,88.189,48.675,-0.634,0
2024-11-08 09:00:00+00:00,1,15.177,89.472,48.062,-0.613,0
2024-11-08 10:00:00+00:00,1,15.573,86.71,47.905,-0.157,0
2024-11-08 11:00:00+00:00,1,17.653,80.929,48.657,0.752,0
2024-11-08 12:00:00+00:00,1,20.755,77.021,51.623,2.966,0
2024-11-08 13:00:00+00:00,1,23.584,60.394,53.523,1.9,0
2024-11-08 14:00:00+00:00,1,26.782,53.764,54.336,0.813,0
2024-11-08 15:00:00+00:00,1,29.164,46.832,54.672,0.336,0
2024-11-08 16:00:00+00:00,1,30.648,40.205,40.926,-13.746,0
2024-11-08 17:00:00+00:00,1,37.262,23.257,9.5,-31.426,0
2024-11-08 18:00:00+00:00,1,43.111,15.925,1.809,-7.691,0
2024-11-08 22:00:00+00:00,1,31.08,26.912,7.833,6.024,0
2024-11-08 23:00:00+00:00,1,25.214,33.609,5.987,-1.846,0
2024-11-09 00:00:00+00:00,1,22.661,42.62,4.594,-1.393,0
2024-11-09 01:00:00+00:00,1,22.689,45.273,4.44,-0.154,0
2024-11-09 12:00:00+00:00,1,20.35,66.65,47.0,42.56,1
2024-11-09 13:00:00+00:00,1,22.8,50.1,52.0,5.0,0
2024-11-09 16:00:00+00:00,1,28.486,41.451,100.0,48.0,1
2024-11-09 17:00:00+00:00,1,36.936,28.864,100.0,0.0,0
2024-11-09 18:00:00+00:00,1,42.982,17.72,100.0,0.0,0
2024-11-09 19:00:00+00:00,1,43.339,16.664,100.0,0.0,0
2024-11-09 20:00:00+00:00,1,40.071,23.799,100.0,0.0,0
2024-11-09 21:00:00+00:00,1,33.869,30.188,100.0,0.0,0
2024-11-09 22:00:00+00:00,1,24.514,35.663,75.075,-24.925,0
2024-11-10 00:00:00+00:00,1,24.136,72.363,13.866,-61.209,0
2024-11-10 01:00:00+00:00,1,24.075,68.703,100.0,86.134,1
2024-11-10 02:00:00+00:00,1,23.327,74.192,86.212,-13.788,0
2024-11-10 03:00:00+00:00,1,22.919,77.993,86.629,0.417,0
2024-11-10 13:00:00+00:00,1,20.916,87.336,94.556,7.927,0
2024-11-10 14:00:00+00:00,1,21.537,77.028,4.571,-89.985,0
2024-11-10 15:00:00+00:00,1,22.1,79.366,3.96,-0.611,0
2024-11-10 16:00:00+00:00,1,23.146,75.038,3.512,-0.448,0
2024-11-10 17:00:00+00:00,1,25.07,70.94,9.75,6.238,0
2024-11-10 23:00:00+00:00,1,22.0,46.8,1.0,-8.75,0
2024-11-11 00:00:00+00:00,1,21.215,56.561,13.242,12.242,1
2024-11-11 01:00:00+00:00,1,20.3,81.3,9.667,-3.575,0
2024-11-11 15:00:00+00:00,1,24.8,46.1,95.5,85.833,1
2024-11-11 16:00:00+00:00,1,28.542,35.081,77.678,-17.822,0
2024-11-11 17:00:00+00:00,1,29.19,34.002,97.529,19.851,1
